spanish,english,context
protozoo, protozoon,Life sciences > Microbiology
proveedor,supplier,Technological Sciences > Electrical technology and engineering
proveedor, supply undertaking,Technological Sciences > Electrical technology and engineering
proveedor,supplier,Medical Sciences > Pharmaceutical Technology
proveedor,supplier,Economic Sciences > Organization and management of enterprises
proveedor,provider,Technological Sciences > Electronic technology
prueba,proof,Mathematics > Analysis and functional analysis
prueba,proof,Physics > Electronics
prueba,test,Technological Sciences > Computer technology
prueba,experiment,Technological Sciences > Environmental technology and engineering
prueba, test,Technological Sciences > Environmental technology and engineering
prueba, trial,Technological Sciences > Environmental technology and engineering
prueba, proof,Technological Sciences > Environmental technology and engineering
prueba,test,Physics > General Physics specialities
prueba,evidence,Physics > Electro-magnetism
prueba, proof,Physics > Electro-magnetism
prueba t,t test,Mathematics > Statistics
prueba t,t probe,Chemistry > Analytical chemistry
puente,bridge,Technological Sciences > Construction technology
puente,jumper,Technological Sciences > Electrical technology and engineering
puerta,gate,Technological Sciences > Electronic technology
puerta,door,Technological Sciences > Civil Engineering
pulsación,angular frequency,Physics > Electro-magnetism
pulsación, pulsation,Physics > Electro-magnetism
pulsación,pulsation,Physics > Aplied Physics
pulsación,pulsation,Technological Sciences > Electrical technology and engineering
pulsación,angular frequency,Technological Sciences > Telecommunications technology
punción arterial,artery puncture,Life sciences > Biochemistry and Molecular Biology
punción arterial,arterial puncture,Medical Sciences > Pathology
punto de apoyo,bearing point,Technological Sciences > Construction technology
punto de apoyo, point of support,Technological Sciences > Construction technology
punto de apoyo, support,Technological Sciences > Construction technology
punto de apoyo,support point,Technological Sciences > Mechanical engineering and technology
punto de fusión,melting point,Life sciences > Biochemistry and Molecular Biology
punto de fusión,fusion point,Chemistry > Physical chemistry
punto de fusión, melting point,Chemistry > Physical chemistry
punto de fusión,melting point,Technological Sciences > Food technology
punto de fusión,melting point,Technological Sciences > Environmental technology and engineering
punto de fusión,melting point,Chemistry > Organic chemistry
punto de fusión,melting point,Technological Sciences > Electrical technology and engineering
punto de fusión,melting point,Technological Sciences > Chemical technology and engineering
punto de fusión, melting temperature,Technological Sciences > Chemical technology and engineering
punto de fusión,melting point,Medical Sciences > Pharmaceutical Technology
punto de fusión,condensation-point,Physics > Thermodynamics
punto de fusión de las cenizas,ashes melting temperature,Technological Sciences > Environmental technology and engineering
punto de fusión de las cenizas,ash melting point,Technological Sciences > Chemical technology and engineering
punto de fusión de las cenizas, ash melting temperature,Technological Sciences > Chemical technology and engineering
punto de inflexión,flex,Mathematics > Analysis and functional analysis
punto de inflexión, inflexion point,Mathematics > Analysis and functional analysis
punto de inflexión, point of inflection,Mathematics > Analysis and functional analysis
punto de inflexión,saddle point,Chemistry > Organic chemistry
punto de inflexión,inflexion point,Chemistry > Analytical chemistry
quimioprofilaxis,chemoprofilaxis,Medical Sciences > Microbiology
quimioprofilaxis,chemoprophylaxis,Medical Sciences > Pharmacology
radio,radius,Mathematics > Analysis and functional analysis
radio,radius,Physics > General Physics specialities
radio,radius,Physics > Electro-magnetism
radio,radius,Medical Sciences > Pharmaceutical Technology
radio,radius,Technological Sciences > Mechanical engineering and technology
radio,radio,Physics > Aplied Physics
radiofrecuencia,radio-frequency,Technological Sciences > Telecommunications technology
radiofrecuencia,radio-frequency,Chemistry > Organic chemistry
radiofrecuencia,radio frequency,Physics > Electro-magnetism
radiofrecuencia, RF,Physics > Electro-magnetism
radiofrecuencia,radio frequency,Physics > General Physics specialities
rango,range,Economic Sciences > Econometrics
rango,rank,Mathematics > Algebra
rango,rank,Technological Sciences > Environmental technology and engineering
rango,range,Mathematics > Statistics
rango, rank,Mathematics > Statistics
rango,range,Mathematics > Topology
rango,rank,Mathematics > Analysis and functional analysis
ratio de liquidez,current ratio,Economic Sciences > General economics
ratio de liquidez,liquidity ratio,Economic Sciences > Organization and management of enterprises
rayado,cross-hatch line,Technological Sciences > Industrial technology
rayado, section line,Technological Sciences > Industrial technology
rayado,hatching,Technological Sciences > Mechanical engineering and technology
rayo,ray,Physics > Optics
rayo,ray,Technological Sciences > Environmental technology and engineering
rayo,ray,Chemistry > Physical chemistry
rayo,ray,Physics > General Physics specialities
rayo,beam,Medical Sciences > Pharmaceutical Technology
rayo,ray,Physics > Aplied Physics
rayo,lightning,Earth and Space Sciences > Metereology and Oceanography
rayo, thunderbolt,Earth and Space Sciences > Metereology and Oceanography
rayo,ray,Medical Sciences > Medical diagnostic and Treatment Technology
rayo,ray,Technological Sciences > Electronic technology
rayo,ray,Physics > Electro-magnetism
rayo ultravioleta,ultraviolet ray,Physics > General Physics specialities
rayo ultravioleta,UV ray,Physics > Electro-magnetism
rayo ultravioleta,ultraviolet ray,Life sciences > Microbiology
rayo ultravioleta, UV ray,Life sciences > Microbiology
rayo ultravioleta,ultraviolet ray,Medical Sciences > Medical diagnostic and Treatment Technology
rayo X,Roentgen rays,Physics > Electro-magnetism
rayo X, X-ray,Physics > Electro-magnetism
rayo X, X-rays,Physics > Electro-magnetism
rayo X,X ray,Technological Sciences > Food technology
rayo X,X-ray,Physics > General Physics specialities
rayos X,Roentgen rays,Physics > Electro-magnetism
rayos X, X-ray,Physics > Electro-magnetism
rayos X, X-rays,Physics > Electro-magnetism
rayos X,X-ray,Chemistry > Organic chemistry
rayos X,X ray,Medical Sciences > Medical diagnostic and Treatment Technology
rayos X,X-ray,Life sciences > Microbiology
rayos X,X-ray,Technological Sciences > Environmental technology and engineering
razón,ratio,Medical Sciences > Public health
razón,quotient,Physics > Electro-magnetism
razón, ratio,Physics > Electro-magnetism
razón,ratio,Mathematics > Analysis and functional analysis
reacción de polimerización,polymerization reaction,Technological Sciences > Chemical technology and engineering
reacción de polimerización,polymerase reaction,Life sciences > Biochemistry and Molecular Biology
reacción redox,redox reaction,Chemistry > Organic chemistry
reacción redox,redox reaction,Chemistry > Analytical chemistry
reacción redox,oxidation-reduction reaction,Technological Sciences > Environmental technology and engineering
reacción redox, redox reaction,Technological Sciences > Environmental technology and engineering
reactivo,reactant,Technological Sciences > Environmental technology and engineering
reactivo, reagent,Technological Sciences > Environmental technology and engineering
reactivo,reagent,Chemistry > Physical chemistry
reactivo,reagent,Medical Sciences > Pharmaceutical Technology
reactivo,reactive,Technological Sciences > Electrical technology and engineering
reactivo,reagent,Life sciences > Cell biology
reactivo,reactant,Chemistry > Organic chemistry
reactivo, reagent,Chemistry > Organic chemistry
reactivo,reactive,Chemistry > Analytical chemistry
reactivo, reagent,Chemistry > Analytical chemistry
receptor,receiver,Technological Sciences > Construction technology
receptor,data receiver,Technological Sciences > Computer technology
receptor, receiver,Technological Sciences > Computer technology
receptor,receptor,Medical Sciences > Pharmacology
receptor,receiver,Technological Sciences > Electronic technology
receptor,receptor,Medical Sciences > Microbiology
receptor,receiver,Technological Sciences > Telecommunications technology
receptor,receiver,Technological Sciences > Electrical technology and engineering
receptor, receiving set,Technological Sciences > Electrical technology and engineering
receptor,receiver,Physics > General Physics specialities
receptor,receiver,Technological Sciences > Environmental technology and engineering
receptor, receptor,Technological Sciences > Environmental technology and engineering
receptor,receiver,Physics > Electro-magnetism
receptor,receiver,Physics > Aplied Physics
receptor,receptor,Life sciences > Human physiology
recipiente,tank,Technological Sciences > Environmental technology and engineering
recipiente,vessel,Chemistry > Physical chemistry
recipiente,vessel,Physics > Thermodynamics
recipiente,container,Physics > Fluids (physics of)
recorrido,codomain,Mathematics > Analysis and functional analysis
recorrido, image set,Mathematics > Analysis and functional analysis
recorrido, range,Mathematics > Analysis and functional analysis
recorrido,stroke,Technological Sciences > Mechanical engineering and technology
recorrido,range,Technological Sciences > Telecommunications technology
recta,right line,Mathematics > Analysis and functional analysis
recta, straight line,Mathematics > Analysis and functional analysis
recta,line,Mathematics > Algebra
recta,line,Technological Sciences > Construction technology
recta,line,Economic Sciences > Econometrics
rectificar,grind,Technological Sciences > Mechanical engineering and technology
rectificar,rectify,Technological Sciences > Electrical technology and engineering
recubrimiento,coating,Medical Sciences > Pharmaceutical Technology
recubrimiento, cover,Medical Sciences > Pharmaceutical Technology
recubrimiento,coating,Technological Sciences > Mechanical engineering and technology
recubrimiento,lining,Technological Sciences > Environmental technology and engineering
recubrimiento, plating,Technological Sciences > Environmental technology and engineering
recubrimiento, cover,Technological Sciences > Environmental technology and engineering
recubrimiento,covering,Mathematics > Analysis and functional analysis
recubrimiento,cover,Mathematics > Topology
recubrimiento, covering,Mathematics > Topology
recubrimiento,cover,Physics > Electro-magnetism
recurrencia,recurrency,Physics > General Physics specialities
recurrencia,recurrence,Medical Sciences > Pharmacology
recurrencia, relapse,Medical Sciences > Pharmacology
recurrencia,recurrency,Technological Sciences > Computer technology
recurso productivo,manufacturing resource,Economic Sciences > Organization and management of enterprises
recurso productivo,manufactoring resource,Economic Sciences > General economics
recurso productivo, productive resource,Economic Sciences > General economics
recursos propios,own resources,Economic Sciences > Organization and management of enterprises
recursos propios,own fund,Economic Sciences > General economics
red,grid,Technological Sciences > Electrical technology and engineering
red, network,Technological Sciences > Electrical technology and engineering
red,network,Technological Sciences > Instrumentation technology
red,lattice,Physics > Thermodynamics
red,network,Technological Sciences > Telecommunications technology
red,network,Technological Sciences > Computer technology
red, grid,Technological Sciences > Computer technology
red cristalina,crystal lattice,Physics > General Physics specialities
red cristalina,crystal lattice,Technological Sciences > Environmental technology and engineering
red cristalina,lattice,Chemistry > Physical chemistry
red cristalina,crystal lattice,Physics > Aplied Physics
red eléctrica,electric network,Technological Sciences > Electrical technology and engineering
red eléctrica, electrical network,Technological Sciences > Electrical technology and engineering
red eléctrica, electrical power network,Technological Sciences > Electrical technology and engineering
red eléctrica,electrical network,Technological Sciences > Environmental technology and engineering
red eléctrica,electric network,Physics > Electro-magnetism
refrigerante,coolant,Technological Sciences > Environmental technology and engineering
refrigerante, refrigerant,Technological Sciences > Environmental technology and engineering
refrigerante,condenser,Chemistry > Physical chemistry
refrigerante, coolant,Chemistry > Physical chemistry
refrigerante,coolant,Technological Sciences > Electrical technology and engineering
refrigerante,condenser,Chemistry > Organic chemistry
refuerzo,rib,Technological Sciences > Industrial technology
refuerzo, stiffener,Technological Sciences > Industrial technology
refuerzo,stiffener,Technological Sciences > Mechanical engineering and technology
refuerzo, strengthening,Technological Sciences > Mechanical engineering and technology
refuerzo,reinforcement,Medical Sciences > Medical diagnostic and Treatment Technology
régimen permanente,steady-state,Technological Sciences > Telecommunications technology
régimen permanente,steady state,Technological Sciences > Electronic technology
régimen permanente,steady state,Physics > Fluids (physics of)
régimen permanente,steady state,Physics > Electro-magnetism
régimen permanente,stable regime,Technological Sciences > Electrical technology and engineering
régimen permanente, steady state,Technological Sciences > Electrical technology and engineering
régimen transitorio,transient-state,Technological Sciences > Telecommunications technology
régimen transitorio,transient state,Technological Sciences > Electrical technology and engineering
régimen transitorio,transient response,Technological Sciences > Electronic technology
régimen transitorio,transient regime,Physics > Electro-magnetism
región crítica,critical region,Economic Sciences > Econometrics
región crítica,rejection region,Mathematics > Statistics
registro,record,Technological Sciences > Computer technology
registro, register,Technological Sciences > Computer technology
registro,register,Technological Sciences > Environmental technology and engineering
reglamento,regulation,Medical Sciences > Nutritional sciences
reglamento,regulation,Technological Sciences > Electrical technology and engineering
reglamento,regulation,Technological Sciences > Projects
reglamento, regulations,Technological Sciences > Projects
reglamento, rules,Technological Sciences > Projects
regulador,regulator,Life sciences > Animal Biology
regulador,buffer solution,Chemistry > Physical chemistry
regulador,regulator,Technological Sciences > Electrical technology and engineering
regulador,regulator,Technological Sciences > Electronic technology
regulador, voltage regulator,Technological Sciences > Electronic technology
relación,relationship,Technological Sciences > Projects
relación,relation,Mathematics > Analysis and functional analysis
relación, relationship,Mathematics > Analysis and functional analysis
relación,relation,Medical Sciences > Pharmacology
relación,relation,Technological Sciences > Computer technology
relación, relationship,Technological Sciences > Computer technology
relación,relation,Mathematics > Algebra
relación causal,causal relationship,Medical Sciences > Pharmacology
relación causal,causal relation,Medical Sciences > Public health
relación de intercambio,term of trade,Economic Sciences > General economics
relación de intercambio, trade terms,Economic Sciences > General economics
relación de intercambio,exchange relation,Economic Sciences > Economic theory
relación de intercambio, rate exchange,Economic Sciences > Economic theory
relación de transformación,transformation ratio,Technological Sciences > Electrical technology and engineering
relación de transformación, voltage ratio,Technological Sciences > Electrical technology and engineering
relación de transformación,transformation rate,Economic Sciences > Economic theory
relación marginal de sustitución,law of substitution,Economic Sciences > General economics
relación marginal de sustitución,marginal rate of substitution,Mathematics > Analysis and functional analysis
relación marginal de sustitución,marginal rate of substitution,Economic Sciences > Economic theory
relación marginal de sustitución, marginal substitution rate,Economic Sciences > Economic theory
relación S/N,S/N relation,Technological Sciences > Telecommunications technology
relación S/N, signal to noise relation,Technological Sciences > Telecommunications technology
relación S/N,S/N ratio,Chemistry > Analytical chemistry
relleno,packing,Technological Sciences > Environmental technology and engineering
relleno, filling,Technological Sciences > Environmental technology and engineering
relleno,backfill,Technological Sciences > Electrical technology and engineering
relleno,fill,Technological Sciences > Construction technology
remolino,whirlpool,Physics > General Physics specialities
remolino,vortex,Technological Sciences > Environmental technology and engineering
remolino,eddy,Earth and Space Sciences > Metereology and Oceanography
remolino,vortex,Physics > Fluids (physics of)
remolino, whirl,Physics > Fluids (physics of)
rendimiento,performance,Physics > Electro-magnetism
rendimiento,efficiency,Technological Sciences > Electrical technology and engineering
rendimiento, performance,Technological Sciences > Electrical technology and engineering
rendimiento,yield,Medical Sciences > Pharmaceutical Technology
rendimiento,return,Economic Sciences > Organization and management of enterprises
rendimiento, yield,Economic Sciences > Organization and management of enterprises
rendimiento,return,Economic Sciences > Economic theory
rendimiento,performance,Technological Sciences > Computer technology
rendimiento,yield,Chemistry > Analytical chemistry
rendimiento, recovery,Chemistry > Analytical chemistry
rendimiento,efficiency,Technological Sciences > Environmental technology and engineering
rendimiento, throughput,Technological Sciences > Environmental technology and engineering
rendimiento, yield,Technological Sciences > Environmental technology and engineering
rentabilidad económica,economic return,Economic Sciences > Economic accounting
rentabilidad económica,economic profitability,Economic Sciences > General economics
reparto,distribution,Technological Sciences > Electrical technology and engineering
reparto,partition,Medical Sciences > Pharmaceutical Technology
representación,representation,Mathematics > Algebra
representación,representation,Technological Sciences > Computer technology
representación,representation,Physics > Theoretical physics
representación,representation,Technological Sciences > Industrial technology
representación,expression,Mathematics > Analysis and functional analysis
representación, representation,Mathematics > Analysis and functional analysis
residuo,remainder,Mathematics > Analysis and functional analysis
residuo, residue,Mathematics > Analysis and functional analysis
residuo,residual,Mathematics > Statistics
residuo,residue,Technological Sciences > Environmental technology and engineering
residuo, waste,Technological Sciences > Environmental technology and engineering
residuo,waste,Chemistry > Physical chemistry
residuo,residue,Medical Sciences > Pharmaceutical Technology
residuo, waste,Medical Sciences > Pharmaceutical Technology
residuo,residual,Economic Sciences > Econometrics
residuo,rest,Life sciences > Biochemistry and Molecular Biology
residuo,residue,Life sciences > Cell biology
residuo,remainder,Life sciences > Microbiology
residuo, residue,Life sciences > Microbiology
residuo radioactivo,radioactive waste,Technological Sciences > Environmental technology and engineering
residuo radioactivo,radioactive residue,Medical Sciences > Medical diagnostic and Treatment Technology
resistencia,ohmic resistance,Physics > Electro-magnetism
resistencia, resistance,Physics > Electro-magnetism
resistencia,resistance,Physics > Aplied Physics
resistencia,resistor,Technological Sciences > Electronic technology
resistencia, resistance,Technological Sciences > Electronic technology
resistencia,resistance,Medical Sciences > Pharmacology
resistencia,resistance,Medical Sciences > Pharmaceutical Technology
resistencia,resistor,Physics > General Physics specialities
resistencia, resistance,Physics > General Physics specialities
resistencia,resistance,Technological Sciences > Electrical technology and engineering
resistencia, resistor,Technological Sciences > Electrical technology and engineering
resistencia,resistance,Physics > Mechanics
resistencia,resistance,Technological Sciences > Environmental technology and engineering
resistencia eléctrica,electric resistence,Physics > Aplied Physics
resistencia eléctrica,ohmic resistance,Technological Sciences > Electrical technology and engineering
resistencia eléctrica,electrical resistance,Physics > Electro-magnetism
resistencia eléctrica,electrical resistance,Technological Sciences > Environmental technology and engineering
resolución,resolution,Medical Sciences > Nutritional sciences
resolución,resolution,Physics > Electro-magnetism
resolución,resolution,Technological Sciences > Telecommunications technology
resolución,solution,Mathematics > Analysis and functional analysis
resolución,resolution,Physics > General Physics specialities
resolución,resolution,Life sciences > Biochemistry and Molecular Biology
resolución,resolution,Medical Sciences > Medical diagnostic and Treatment Technology
resolución,resolution,Technological Sciences > Computer technology
resolución,resolution,Chemistry > Analytical chemistry
resolver,resolve,Mathematics > Analysis and functional analysis
resolver, solve,Mathematics > Analysis and functional analysis
resolver,solve,Technological Sciences > Environmental technology and engineering
resolver,resolve,Physics > Electro-magnetism
resonancia magnética nuclear,magnetic resonance imaging,Medical Sciences > Medical diagnostic and Treatment Technology
resonancia magnética nuclear,nuclear magnetic resonance,Chemistry > Organic chemistry
respiración,breathing,Medical Sciences > Pharmacology
respiración,respiration,Life sciences > Animal Biology
respiración, breath,Life sciences > Animal Biology
respiración,respiration,Life sciences > Human physiology
respiración,respiration,Life sciences > Microbiology
resto,remainder,Mathematics > Algebra
resto,rest,Life sciences > Biochemistry and Molecular Biology
resto,remainder,Mathematics > Analysis and functional analysis
resto, residue,Mathematics > Analysis and functional analysis
resto,residue,Chemistry > Physical chemistry
resto,waste,Life sciences > Animal Biology
restricción,restriction,Mathematics > Algebra
restricción,constraint,Technological Sciences > Computer technology
restricción,rectriction,Technological Sciences > Projects
restricción,constraint,Mathematics > Analysis and functional analysis
restricción, restriction,Mathematics > Analysis and functional analysis
restricción,restriction,Life sciences > Biochemistry and Molecular Biology
restricción,restriction,Economic Sciences > Econometrics
restricción,constraint,Economic Sciences > Organization and management of enterprises
restricción, restriction,Economic Sciences > Organization and management of enterprises
restricción,constraint,Mathematics > Operations research
restricción, restriction,Mathematics > Operations research
resultado neto,gross profit,Economic Sciences > Economic accounting
resultado neto,net result,Economic Sciences > Organization and management of enterprises
retardo,delay,Technological Sciences > Telecommunications technology
retardo,delay,Technological Sciences > Projects
retardo,delay,Physics > Electro-magnetism
retardo,delay,Technological Sciences > Instrumentation technology
retardo,lag,Economic Sciences > Econometrics
retardo,delay,Technological Sciences > Computer technology
retardo, delay time,Technological Sciences > Computer technology
retención,retention,Technological Sciences > Environmental technology and engineering
retención,deduction,Economic Sciences > Organization and management of enterprises
retención,retention,Chemistry > Analytical chemistry
retención,retention,Medical Sciences > Pharmacology
retículo,lattice,Mathematics > Algebra
retículo,reticle,Medical Sciences > Pharmaceutical Technology
retículo,lattice,Physics > Optics
retraso,delay,Technological Sciences > Projects
retraso,delay time,Technological Sciences > Electrical technology and engineering
retraso,delay,Medical Sciences > Pharmacology
reutilización,reuse,Technological Sciences > Computer technology
reutilización,reusing,Technological Sciences > Environmental technology and engineering
reutilización, reutilization,Technological Sciences > Environmental technology and engineering
revestimiento,coating,Technological Sciences > Mechanical engineering and technology
revestimiento,cover,Technological Sciences > Environmental technology and engineering
rigidez,rigidity,Technological Sciences > Construction technology
rigidez,stiffness,Technological Sciences > Mechanical engineering and technology
rigidez,rigidity,Medical Sciences > Pharmacology
rigidez,rigidity,Technological Sciences > Environmental technology and engineering
ritmo cardiaco,heart rhythm,Life sciences > Human physiology
ritmo cardiaco,heart rate,Medical Sciences > Pharmacology
rodete,booster,Technological Sciences > Mechanical engineering and technology
rodete, impeller,Technological Sciences > Mechanical engineering and technology
rodete,turbine wheel,Technological Sciences > Electrical technology and engineering
ruptura,breakdown,Technological Sciences > Electronic technology
ruptura,breaking,Medical Sciences > Pharmaceutical Technology
ruptura,break,Technological Sciences > Construction technology
ruptura, fracture,Technological Sciences > Construction technology
ruptura, rupture,Technological Sciences > Construction technology
ruptura,break,Technological Sciences > Environmental technology and engineering
ruptura, rupture,Technological Sciences > Environmental technology and engineering
salario,salary,Economic Sciences > General economics
salario, wage,Economic Sciences > General economics
salario,salary,Economic Sciences > Economic theory
salario, wage,Economic Sciences > Economic theory
sección,section,Mathematics > Analysis and functional analysis
sección,section surface,Technological Sciences > Environmental technology and engineering
sección,section,Technological Sciences > Industrial technology
sección,section,Technological Sciences > Construction technology
sección,section,Technological Sciences > Projects
sección,section,Physics > Electro-magnetism
sección,section,Technological Sciences > Electrical technology and engineering
sección,section,Physics > Fluids (physics of)
sector,sector,Economic Sciences > Economic theory
sector,circle sector,Mathematics > Analysis and functional analysis
sector, sector,Mathematics > Analysis and functional analysis
sector, sector of circle,Mathematics > Analysis and functional analysis
sector,sector,Technological Sciences > Computer technology
secuencia,sequence,Life sciences > Biochemistry and Molecular Biology
secuencia,sequence,Technological Sciences > Environmental technology and engineering
secuencia,progression,Mathematics > Analysis and functional analysis
secuencia, sequence,Mathematics > Analysis and functional analysis
secuencia,sequence,Technological Sciences > Computer technology
secuencia,sequence,Life sciences > Cell biology
secuencia,sequence,Technological Sciences > Electrical technology and engineering
secuencia,discrete signal,Technological Sciences > Telecommunications technology
secuencia, discrete-time signal,Technological Sciences > Telecommunications technology
sedimento,sediment,Earth and Space Sciences > Geology
sedimento,sediment,Medical Sciences > Pharmaceutical Technology
sedimento,pellet,Life sciences > Biochemistry and Molecular Biology
sedimento,sediment,Technological Sciences > Environmental technology and engineering
segmento,line segment,Physics > Electro-magnetism
segmento, segment,Physics > Electro-magnetism
segmento,segment,Life sciences > Animal Biology
segmento,segment,Technological Sciences > Mechanical engineering and technology
segmento,line segment,Mathematics > Analysis and functional analysis
segmento, segment,Mathematics > Analysis and functional analysis
seguridad,safety,Technological Sciences > Instrumentation technology
seguridad,security,Medical Sciences > Pharmaceutical Technology
seguridad,safety,Technological Sciences > Projects
seguridad,security,Medical Sciences > Pharmacology
seguridad social,social security,Economic Sciences > General economics
seguridad social,Social Security,Technological Sciences > Projects
semipermeable,semipermeable,Technological Sciences > Food technology
semipermeable,aquitard,Technological Sciences > Environmental technology and engineering
semivida,half-life,Physics > General Physics specialities
semivida,half life,Chemistry > Physical chemistry
semivida,half-life,Life sciences > Biochemistry and Molecular Biology
semivida, t<sub>1/2</sub>,Life sciences > Biochemistry and Molecular Biology
semivida,half life,Medical Sciences > Pharmaceutical Technology
señal analógica,analog signal,Technological Sciences > Telecommunications technology
señal analógica,analog signal,Technological Sciences > Electronic technology
señal analógica,analogical signal,Chemistry > Analytical chemistry
señal analógica,analog signal,Technological Sciences > Instrumentation technology
sensibilidad a los antibióticos,antibiotic sensitivity,Medical Sciences > Microbiology
sensibilidad a los antibióticos,antibiotic susceptibility,Life sciences > Microbiology
sensibilidad a los antibióticos, sensitivity to antibioticsantibiotic sensitivity,Life sciences > Microbiology
sensibilidad a los antibióticos, susceptibility to antibiotics,Life sciences > Microbiology
sentencia,command,Technological Sciences > Computer technology
sentencia, instruction,Technological Sciences > Computer technology
sentencia, sentence,Technological Sciences > Computer technology
sentencia,sentence,Technological Sciences > Telecommunications technology
sentencia,verdict,Medical Sciences > Nutritional sciences
sentido,sense,Physics > Aplied Physics
sentido,sense,Technological Sciences > Construction technology
sentido,sense,Earth and Space Sciences > Geology
sentido,direction,Physics > General Physics specialities
sentido, sense,Physics > General Physics specialities
sentido,directional sense,Technological Sciences > Mechanical engineering and technology
sentido,direction of motion,Physics > Electro-magnetism
sentido, directional sense,Physics > Electro-magnetism
sentido, sense,Physics > Electro-magnetism
sentido, sense of motion,Physics > Electro-magnetism
serie,mathematical series,Physics > Electro-magnetism
serie, series,Physics > Electro-magnetism
serie,series,Technological Sciences > Electronic technology
serie,series,Mathematics > Analysis and functional analysis
serie,series,Physics > General Physics specialities
serie,series,Technological Sciences > Environmental technology and engineering
serie,series,Physics > Aplied Physics
serie,series,Technological Sciences > Electrical technology and engineering
serie,serie,Earth and Space Sciences > Geology
serie, succession,Earth and Space Sciences > Geology
serie,series,Technological Sciences > Instrumentation technology
sesgo,bias,Economic Sciences > Econometrics
sesgo,bias,Mathematics > Statistics
sesgo,bias,Life sciences > Biochemistry and Molecular Biology
sesgo,skew,Technological Sciences > Computer technology
simetría,symmetry,Mathematics > Algebra
simetría,symmetry,Physics > Electro-magnetism
simetría,symmetry,Mathematics > Analysis and functional analysis
simetría,simetry,Physics > Optics
simetría,symmetry,Technological Sciences > Telecommunications technology
simetría,symmetry,Physics > Theoretical physics
simetría,symmetry,Physics > General Physics specialities
sinapsis,sinapse,Life sciences > Animal Biology
sinapsis,synapse,Life sciences > Cell biology
sinapsis,synapsis,Chemistry > Organic chemistry
síndrome de abstinencia,abstinence syndrome,Medical Sciences > Pharmacology
síndrome de abstinencia,withdrawal syndrome,Medical Sciences > Public health
sinergia,synergy,Technological Sciences > Environmental technology and engineering
sinergia,synergia,Medical Sciences > Pharmacology
síntesis de proteínas,protein synthesis,Chemistry > Organic chemistry
síntesis de proteínas,translation,Life sciences > Biochemistry and Molecular Biology
sistema compuesto,compound system,Physics > Electro-magnetism
sistema compuesto,composite system,Physics > Thermodynamics
sistema de agujero único,basic hole system,Technological Sciences > Mechanical engineering and technology
sistema de agujero único,only hole sistem,Technological Sciences > Industrial technology
sistema de cargas,loading system,Technological Sciences > Construction technology
sistema de cargas,charge system,Physics > Aplied Physics
sistema de cargas,system of charges,Physics > Electro-magnetism
sistema de ecuaciones,system of equations,Physics > Electro-magnetism
sistema de ecuaciones,system of equations,Mathematics > Algebra
sistema de ecuaciones,equation system,Mathematics > Analysis and functional analysis
sistema de ecuaciones, system of equations,Mathematics > Analysis and functional analysis
sistema de ecuaciones,equation system,Physics > General Physics specialities
sistema de ecuaciones,equation system,Technological Sciences > Electrical technology and engineering
sistema de eje único,basic shaft system,Technological Sciences > Mechanical engineering and technology
sistema de eje único,unique-axis sistem,Technological Sciences > Industrial technology
sistema de partículas,particle system,Physics > Mechanics
sistema de partículas,particle system,Technological Sciences > Construction technology
sistema de partículas,system of particles,Physics > Aplied Physics
sistema de partículas,particle system,Physics > Electro-magnetism
sistema de referencia,reference system,Physics > General Physics specialities
sistema de referencia,reference system,Physics > Electro-magnetism
sistema de referencia,frame of reference,Physics > Mechanics
sistema de referencia, reference system,Physics > Mechanics
sistema de referencia,frame system,Technological Sciences > Construction technology
sistema de referencia,frame of reference,Physics > Aplied Physics
sistema de referencia, reference system,Physics > Aplied Physics
sistema de referencia,reference system,Technological Sciences > Electrical technology and engineering
sistema de referencia,reference system,Mathematics > Analysis and functional analysis
sistema de vectores,vector system,Mathematics > Analysis and functional analysis
sistema de vectores,system of vectors,Technological Sciences > Construction technology
sistema generador,generating set,Mathematics > Analysis and functional analysis
sistema generador, generator,Mathematics > Analysis and functional analysis
sistema generador,generating system,Mathematics > Algebra
sistema generador, system of generators,Mathematics > Algebra
sistema internacional de unidades,international system of units,Physics > Electro-magnetism
sistema internacional de unidades, International System of Units,Physics > Electro-magnetism
sistema internacional de unidades, SI,Physics > Electro-magnetism
sistema internacional de unidades, SI system,Physics > Electro-magnetism
sistema internacional de unidades,International System of Units,Physics > Mechanics
sistema internacional de unidades, SI system,Physics > Mechanics
sistema internacional de unidades,international system of units,Physics > General Physics specialities
sistema internacional de unidades,International system of units,Technological Sciences > Environmental technology and engineering
sistema nervioso,nervous system,Life sciences > Animal Biology
sistema nervioso,nervous system,Technological Sciences > Environmental technology and engineering
sistema nervioso,nervous system,Life sciences > Microbiology
sistema nervioso,nerve system,Chemistry > Organic chemistry
sistema nervioso,nervous system,Medical Sciences > Pharmacology
sobrecalentador,steam superheater,Technological Sciences > Chemical technology and engineering
sobrecalentador, superheater,Technological Sciences > Chemical technology and engineering
sobrecalentador,reheat superheater,Technological Sciences > Electrical technology and engineering
sobrecalentador, reheater,Technological Sciences > Electrical technology and engineering
sobrecalentador, super-heater,Technological Sciences > Electrical technology and engineering
sobrecalentar,overheat,Technological Sciences > Chemical technology and engineering
sobrecalentar,superheat,Technological Sciences > Electrical technology and engineering
sociedad anónima,joint-stock corporation,Technological Sciences > Projects
